enname,zhname,length,age,x,y,class,abbr
"Staphylococcus aureus","金黄色葡萄球菌","1µm","27min",1.000000,3.209515,"Bacilli","staph"
"Bacillus cereus","蜡状芽孢杆菌","2.3µm","19min",1.361728,3.056905,"Bacilli","bacil"
"Pseudomonas fluorescens","荧光假单胞菌","3µm","30min",1.477121,3.255273,"Gammaproteobacteria","pseud"
"Escherichia coli","大肠杆菌","3.5µm","12.5min",1.544068,2.875061,"Gammaproteobacteria","esch"
"Spirochaeta sp.","螺旋菌","20µm","8.8hr",2.301030,4.500785,"Spirochaetes","spiro"
"Euglena gracilis","纤细裸藻","40µm","7hr",2.602060,4.401401,"Euglenoidea","eugl"
"Tetrahymena geleii","胶状四膜虫","50µm","2.5hr",2.698970,3.954243,"Oligohymenophorea","tetra"
"Didinium nasutum","双环栉毛虫","100µm","6.6hr",3.000000,4.375846,"Litostomatea","didi"
"Paramecium caudatum","尾状草履虫","200µm","10hr",3.301030,4.556303,"Oligohymenophorea","para"
"Stentor coeruleus","天蓝喇叭虫","1mm","34hr",4.000000,5.087781,"Heterotrichea","sten"
"Daphnia longispina","长刺蚤","1.4mm","80hr",4.146128,5.459392,"Branchiopoda","daph"
"Drosophila melanogaster","黑腹果蝇","3mm","14d",4.477121,6.082642,"Insecta","dros"
"Venus mercenaria (clam)","帘蛤","6mm","1.5a",4.778151,7.674898,"Bivalvia","clam"
"Musca domestica (house fly)","家蝇","7mm","20d",4.845098,6.237544,"Insecta","housefly"
"Tabanus atratus (horse fly)","马蝇","14mm","110d",5.146128,6.977906,"Insecta","horsefly"
"Apis mellifera (honey bee)","西洋蜂","15mm","20d",5.176091,6.237544,"Insecta","honeybee"
"Crassostrea virginica (oyster)","牡蛎","30mm","1a",5.477121,7.498807,"Bivalvia","oyster"
"Anolis carolinensis (chameleon)","变色龙","47mm","1.5a",5.672098,7.674898,"Reptilia","chameleon"
"Lymnaea stagnalis (pond snail)","椎实螺","55mm","9mon",5.740363,7.367878,"Bivalvia","pondsnail"
"Rana pipiens(leopard frog)","林蛙","60mm","1.5a",5.778151,7.674898,"Amphibia","leopardfrog"
"Aequipecten irradians(bay scallop)","海湾扇贝","78mm","1a",5.892095,7.498807,"Bivalvia","bayscallop"
"Diemictylus viridescens(eastern newt)","东方蝾螈","80mm","2a",5.903090,7.799837,"Amphibia","easternnewt"
"Peroomyscus gossypinus(cotton deermouse)","棉鼠","90mm","70d",5.954243,6.781612,"Mammalia","cottondeermouse"
"Asterias forbesi(starfish)","海星","100mm","1.5a",6.000000,7.674898,"Asteroidea","starfish"
"Terrapene carolina(common box turtle)","箱龟","100mm","4a",6.000000,8.100867,"Reptilia","boxturtle"
"Dicrostonyx groenlandicus(collared lemming)","旅鼠","140mm","48d",6.146128,6.617755,"Mammalia","collaredlemming"
"Callinectes sapidus(blue crab)","蓝蟹","150mm","13mon",6.176091,7.527578,"Malacostraca","bluecrab"
"Limulus polyhenus(horeshoe crab)","鲎","200mm","10a",6.301030,8.498807,"Xiphosura","horeshoe crab"
"Ambystoma tigrinum(tiger salamander)","虎斑蝾螈","205mm","1a",6.311754,7.498807,"Amphibia","tigersalamander"
"Neotoma floridana(wood rat)","木鼠","250mm","7mon",6.397940,7.258733,"Mammalia","woodrat"
"Vulpes fulva(red fox)","赤狐","590mm","1a",6.770852,7.498807,"Mammalia","redfox"
"Castor canadensis(beaver)","美洲河狸","680mm","2.8a",6.832509,7.945965,"Mammalia","beaver"
"Masticophus taeniatus(western striped racer)","西部斑马鱼","870mm","3a",6.939519,7.975928,"Reptilia","stripedracer"
"Odocoileus virginianus(white tailed deer)","白尾鹿","1.1M","2a",7.041393,7.799837,"Mammalia","whitetaileddeer"
"Homo sapiens(man)","人","1.7M","20a",7.230449,8.799837,"Mammalia","man"
"Ursus horribilis(grizzly bear)","灰熊","1.8M","4a",7.255273,8.100867,"Mammalia","grizzlybear"
"Cervus canadensis(elk)","马鹿","2.3M","2.7a",7.361728,7.930170,"Mammalia","elk"
"Diceros bicornis(black rhino)","黑犀","3.0M","5a",7.477121,8.197777,"Mammalia","blackrhino"
"Loxodont africana(African elephant)","非洲象","3.5M","12.3a",7.544068,8.588712,"Mammalia","africanelephant"
"Cornus florida(dogwood)","大花山茱萸","9.0M","5a",7.954243,8.197777,"Asterids","dogwood"
"Abies balsamea(balsam fir)","胶冷杉","16M","15a",8.204120,8.674898,"Pinopsida","balsamfir"
"Nerocystis Luetkeana(kelp)","巨藻","20M","2a",8.301030,7.799837,"Phaeophyceae","kelp"
"Betula alleghaniensis(yellow birch)","黄桦","22M","40a",8.342423,9.100867,"Rosids","yellowbirch"
"Balaenoptera musculus(blue whale)","蓝鲸","22M","5.5a",8.342423,8.239169,"Mammalia","bluewhale"
"Abies concolor(white fir) ","白冷杉 ","45M","35a",8.653213,9.042875,"Pinopsida","whitefir"
"Sequoia gigantea(giant sequoia)","巨杉","80M","60a",8.903090,9.276958,"Pinopsida","giantsequoia"
